"d";"r";"mean_keff+3*sigma_keff";"N(mean_keff,sigma_keff)";"mean_keff"
"10.0 - 18.74";"1.0 - 20.0";


10.0;01.0;0.06344999999999999;N(0.0633,5.0E-5);0.0633
10.87;01.0;0.06909;N(0.06894,5.0E-5);0.06894
11.75;01.0;0.07476;N(0.07458,6.0E-5);0.07458
12.62;01.0;0.08044;N(0.08026,6.0E-5);0.08026
13.50;01.0;0.08599;N(0.08581,6.0E-5);0.08581
14.37;01.0;0.0915;N(0.09129,7.0E-5);0.09129
15.24;01.0;0.09713000000000001;N(0.09692,7.0E-5);0.09692
16.12;01.0;0.10284;N(0.10263,7.0E-5);0.10263
16.99;01.0;0.10847000000000001;N(0.10823,8.0E-5);0.10823
17.87;01.0;0.11412;N(0.11391,7.0E-5);0.11391
18.74;01.0;0.11957000000000001;N(0.1193,9.0E-5);0.1193
10.0;02.9;0.18638;N(0.18599,1.3E-4);0.18599
10.87;02.9;0.20253;N(0.20214,1.3E-4);0.20214
11.75;02.9;0.21907000000000001;N(0.21862,1.5E-4);0.21862
12.62;02.9;0.23563;N(0.23515,1.6E-4);0.23515
13.50;02.9;0.25224;N(0.25173,1.7E-4);0.25173
14.37;02.9;0.26884;N(0.26833,1.7E-4);0.26833
15.24;02.9;0.28472000000000003;N(0.28415,1.9E-4);0.28415
16.12;02.9;0.30174999999999996;N(0.30115,2.0E-4);0.30115
16.99;02.9;0.31834;N(0.31768,2.2E-4);0.31768
17.87;02.9;0.33443;N(0.33377,2.2E-4);0.33377
18.74;02.9;0.35157000000000005;N(0.35088,2.3E-4);0.35088
10.0;04.8;0.30968;N(0.30905,2.1E-4);0.30905
10.87;04.8;0.33742;N(0.33676,2.2E-4);0.33676
11.75;04.8;0.36443;N(0.36371,2.4E-4);0.36371
12.62;04.8;0.39246;N(0.39171,2.5E-4);0.39171
13.50;04.8;0.41933;N(0.41852,2.7E-4);0.41852
14.37;04.8;0.4462;N(0.44533,2.9E-4);0.44533
15.24;04.8;0.47264;N(0.47174,3.0E-4);0.47174
16.12;04.8;0.49942;N(0.49849,3.1E-4);0.49849
16.99;04.8;0.5264800000000001;N(0.52546,3.4E-4);0.52546
17.87;04.8;0.55351;N(0.5524,3.7E-4);0.5524
18.74;04.8;0.5790700000000001;N(0.57793,3.8E-4);0.57793
10.0;06.7;0.43339999999999995;N(0.43259,2.7E-4);0.43259
10.87;06.7;0.47055;N(0.46965,3.0E-4);0.46965
11.75;06.7;0.5084500000000001;N(0.50746,3.3E-4);0.50746
12.62;06.7;0.5458999999999999;N(0.54485,3.5E-4);0.54485
13.50;06.7;0.58246;N(0.58135,3.7E-4);0.58135
14.37;06.7;0.61947;N(0.61827,4.0E-4);0.61827
15.24;06.7;0.6540900000000001;N(0.65283,4.2E-4);0.65283
16.12;06.7;0.68996;N(0.68867,4.3E-4);0.68867
16.99;06.7;0.72429;N(0.72303,4.2E-4);0.72303
17.87;06.7;0.75983;N(0.75842,4.7E-4);0.75842
18.74;06.7;0.7937500000000001;N(0.79222,5.1E-4);0.79222
10.0;08.6;0.55444;N(0.55345,3.3E-4);0.55345
10.87;08.6;0.60051;N(0.59934,3.9E-4);0.59934
11.75;08.6;0.64778;N(0.64658,4.0E-4);0.64658
12.62;08.6;0.69258;N(0.69126,4.4E-4);0.69126
13.50;08.6;0.73902;N(0.73761,4.7E-4);0.73761
14.37;08.6;0.78216;N(0.78072,4.8E-4);0.78072
15.24;08.6;0.82486;N(0.8233,5.2E-4);0.8233
16.12;08.6;0.86631;N(0.86472,5.3E-4);0.86472
16.99;08.6;0.9083100000000001;N(0.90666,5.5E-4);0.90666
17.87;08.6;0.9485600000000001;N(0.94679,5.9E-4);0.94679
18.74;08.6;0.98708;N(0.98534,5.8E-4);0.98534
10.0;10.5;0.67233;N(0.6711,4.1E-4);0.6711
10.87;10.5;0.72701;N(0.72563,4.6E-4);0.72563
11.75;10.5;0.78137;N(0.7799,4.9E-4);0.7799
12.62;10.5;0.83405;N(0.83261,4.8E-4);0.83261
13.50;10.5;0.8842;N(0.88261,5.3E-4);0.88261
14.37;10.5;0.9348000000000001;N(0.93315,5.5E-4);0.93315
15.24;10.5;0.9812000000000001;N(0.9794,6.0E-4);0.9794
